client_id,client_name,plan_type,pa_sla_hours,is_problem_account
CL0001,Client 1,Medicare,48,False
CL0002,Client 2,Medicare,48,False
CL0003,Client 3,Commercial,24,False
CL0004,Client 4,Commercial,24,False
CL0005,Client 5,Commercial,48,True
CL0006,Client 6,Medicaid,48,False
CL0007,Client 7,Medicare,48,False
CL0008,Client 8,Medicare,48,False
CL0009,Client 9,Commercial,48,False
CL0010,Client 10,Commercial,48,False
CL0011,Client 11,Commercial,48,False
CL0012,Client 12,Commercial,48,False
CL0013,Client 13,Medicare,24,False
CL0014,Client 14,Medicare,48,False
CL0015,Client 15,Medicare,24,False
CL0016,Client 16,Commercial,48,False
CL0017,Client 17,Medicaid,72,False
CL0018,Client 18,Medicaid,24,False
CL0019,Client 19,Medicare,24,False
CL0020,Client 20,Commercial,24,False
CL0021,Client 21,Commercial,24,False
CL0022,Client 22,Commercial,48,True
CL0023,Client 23,Commercial,48,False
CL0024,Client 24,Medicare,48,False
CL0025,Client 25,Medicare,48,False
CL0026,Client 26,Medicaid,48,False
CL0027,Client 27,Commercial,72,False
CL0028,Client 28,Commercial,24,False
CL0029,Client 29,Commercial,24,False
CL0030,Client 30,Commercial,24,False
CL0031,Client 31,Commercial,48,True
CL0032,Client 32,Commercial,48,False
CL0033,Client 33,Commercial,24,False
CL0034,Client 34,Medicare,48,False
CL0035,Client 35,Commercial,24,False
CL0036,Client 36,Medicare,48,True
CL0037,Client 37,Medicare,48,False
CL0038,Client 38,Commercial,48,False
CL0039,Client 39,Medicare,48,False
CL0040,Client 40,Medicare,48,False
CL0041,Client 41,Commercial,48,False
CL0042,Client 42,Commercial,24,False
CL0043,Client 43,Medicare,24,True
CL0044,Client 44,Commercial,72,False
CL0045,Client 45,Commercial,72,False
CL0046,Client 46,Commercial,48,False
CL0047,Client 47,Medicare,24,False
CL0048,Client 48,Medicare,72,False
CL0049,Client 49,Medicare,48,True
CL0050,Client 50,Medicare,48,False
