ndc_code,drug_name,drug_tier,requires_pa,base_awp
97805-407-01,Drug_0001,1,False,9.05
96805-604-02,Drug_0002,1,False,18.65
33813-104-03,Drug_0003,1,False,39.95
48695-986-04,Drug_0004,3,True,294.44
48925-728-05,Drug_0005,2,False,48.48
32772-797-06,Drug_0006,1,False,19.8
79820-646-07,Drug_0007,1,False,26.69
79465-620-08,Drug_0008,2,False,141.95
44048-763-09,Drug_0009,1,False,39.33
85160-856-10,Drug_0010,3,False,202.23
29176-708-11,Drug_0011,3,False,253.5
10387-614-12,Drug_0012,2,False,124.89
61404-426-13,Drug_0013,1,False,14.47
99466-893-14,Drug_0014,2,True,136.18
13477-287-15,Drug_0015,2,False,109.61
28719-906-16,Drug_0016,2,False,43.42
56701-755-17,Drug_0017,1,False,34.14
82893-790-18,Drug_0018,1,False,11.17
18013-226-19,Drug_0019,1,False,19.82
45570-404-20,Drug_0020,2,False,96.26
77236-240-21,Drug_0021,1,False,22.53
43438-312-22,Drug_0022,1,False,29.02
26995-255-23,Drug_0023,1,False,27.84
27594-607-24,Drug_0024,2,False,149.05
46903-491-25,Drug_0025,1,False,39.98
53147-766-26,Drug_0026,3,False,537.34
87562-573-27,Drug_0027,2,True,41.42
67802-763-28,Drug_0028,1,False,30.47
72135-220-29,Drug_0029,2,True,147.2
98467-248-30,Drug_0030,1,False,16.14
47065-686-31,Drug_0031,4,True,4174.58
46301-318-32,Drug_0032,2,False,80.97
93100-164-33,Drug_0033,3,False,188.56
32128-992-34,Drug_0034,1,False,28.53
75682-178-35,Drug_0035,2,False,72.4
77910-971-36,Drug_0036,2,False,124.5
18800-472-37,Drug_0037,4,True,6808.05
52140-217-38,Drug_0038,2,False,128.55
28050-256-39,Drug_0039,2,False,80.0
26683-462-40,Drug_0040,1,False,16.25
51744-313-41,Drug_0041,1,True,31.21
36048-272-42,Drug_0042,2,False,126.17
81644-290-43,Drug_0043,1,False,22.19
91683-584-44,Drug_0044,1,False,36.26
82244-672-45,Drug_0045,3,True,257.93
33942-640-46,Drug_0046,3,False,809.3
34671-206-47,Drug_0047,1,False,8.36
32925-347-48,Drug_0048,2,False,48.42
22153-121-49,Drug_0049,1,False,23.68
94940-561-50,Drug_0050,2,False,38.1
46183-936-51,Drug_0051,1,False,6.85
30221-462-52,Drug_0052,2,False,30.06
86199-668-53,Drug_0053,2,False,82.36
45927-329-54,Drug_0054,3,True,730.97
13160-176-55,Drug_0055,1,False,6.22
24574-807-56,Drug_0056,3,False,639.19
67531-489-57,Drug_0057,1,False,33.81
80460-244-58,Drug_0058,1,False,10.88
28983-453-59,Drug_0059,2,False,47.62
92564-652-60,Drug_0060,1,False,35.13
86588-323-61,Drug_0061,3,False,767.34
86353-165-62,Drug_0062,3,False,554.21
30489-570-63,Drug_0063,1,False,33.67
14548-871-64,Drug_0064,4,True,1558.57
88067-586-65,Drug_0065,1,False,18.81
37521-188-66,Drug_0066,2,False,118.54
65701-583-67,Drug_0067,1,False,14.01
78396-641-68,Drug_0068,4,True,6241.54
21546-209-69,Drug_0069,1,False,22.65
80274-242-70,Drug_0070,1,False,31.26
94465-195-71,Drug_0071,1,False,21.26
75553-976-72,Drug_0072,4,True,3512.12
49709-150-73,Drug_0073,3,True,314.39
88900-268-74,Drug_0074,2,False,55.01
57470-985-75,Drug_0075,3,True,713.62
77028-141-76,Drug_0076,3,True,239.18
83844-244-77,Drug_0077,2,True,40.32
77441-658-78,Drug_0078,1,False,11.17
35906-480-79,Drug_0079,3,False,281.51
20605-987-80,Drug_0080,2,False,128.77
31450-377-81,Drug_0081,1,False,18.95
55258-704-82,Drug_0082,1,False,39.66
55474-554-83,Drug_0083,2,False,46.47
62437-871-84,Drug_0084,1,False,27.87
45558-848-85,Drug_0085,4,True,4085.98
80819-963-86,Drug_0086,1,False,18.75
