member_id,client_id,plan_tier
M000001,CL0020,Bronze
M000002,CL0024,Bronze
M000003,CL0032,Bronze
M000004,CL0031,Silver
M000005,CL0015,Silver
M000006,CL0045,Bronze
M000007,CL0016,Silver
M000008,CL0037,Bronze
M000009,CL0010,Gold
M000010,CL0007,Gold
M000011,CL0034,Bronze
M000012,CL0020,Bronze
M000013,CL0035,Gold
M000014,CL0012,Bronze
M000015,CL0050,Gold
M000016,CL0038,Bronze
M000017,CL0043,Silver
M000018,CL0013,Silver
M000019,CL0020,Silver
M000020,CL0026,Gold
M000021,CL0032,Gold
M000022,CL0019,Silver
M000023,CL0010,Silver
M000024,CL0026,Silver
M000025,CL0016,Gold
M000026,CL0030,Bronze
M000027,CL0016,Silver
M000028,CL0016,Silver
M000029,CL0033,Silver
M000030,CL0030,Gold
M000031,CL0020,Gold
M000032,CL0032,Gold
M000033,CL0040,Silver
M000034,CL0027,Gold
M000035,CL0033,Bronze
M000036,CL0050,Bronze
M000037,CL0032,Silver
M000038,CL0045,Silver
M000039,CL0041,Gold
M000040,CL0010,Gold
M000041,CL0031,Silver
M000042,CL0037,Bronze
M000043,CL0050,Bronze
M000044,CL0032,Silver
M000045,CL0012,Silver
M000046,CL0033,Gold
M000047,CL0013,Bronze
M000048,CL0038,Gold
M000049,CL0032,Silver
M000050,CL0037,Silver
M000051,CL0043,Bronze
M000052,CL0033,Bronze
M000053,CL0033,Silver
M000054,CL0040,Gold
M000055,CL0043,Silver
M000056,CL0043,Gold
M000057,CL0005,Silver
M000058,CL0033,Bronze
M000059,CL0016,Bronze
M000060,CL0043,Gold
M000061,CL0033,Silver
M000062,CL0031,Gold
M000063,CL0015,Silver
M000064,CL0020,Bronze
M000065,CL0037,Silver
M000066,CL0016,Silver
M000067,CL0012,Silver
M000068,CL0043,Bronze
M000069,CL0040,Bronze
M000070,CL0016,Silver
M000071,CL0019,Silver
M000072,CL0050,Bronze
M000073,CL0037,Silver
M000074,CL0033,Silver
M000075,CL0020,Silver
M000076,CL0019,Bronze
M000077,CL0007,Gold
M000078,CL0037,Bronze
M000079,CL0008,Bronze
M000080,CL0001,Bronze
M000081,CL0037,Bronze
M000082,CL0050,Silver
M000083,CL0040,Bronze
M000084,CL0032,Bronze
M000085,CL0032,Bronze
M000086,CL0032,Bronze
M000087,CL0020,Silver
M000088,CL0032,Bronze
M000089,CL0031,Silver
M000090,CL0033,Gold
M000091,CL0045,Silver
M000092,CL0050,Bronze
M000093,CL0011,Silver
M000094,CL0029,Bronze
M000095,CL0015,Bronze
M000096,CL0023,Silver
M000097,CL0019,Bronze
M000098,CL0015,Bronze
M000099,CL0040,Bronze
M000100,CL0032,Silver
M000101,CL0048,Bronze
M000102,CL0003,Bronze
M000103,CL0010,Gold
M000104,CL0031,Silver
M000105,CL0011,Silver
M000106,CL0016,Silver
M000107,CL0050,Silver
M000108,CL0016,Silver
M000109,CL0016,Silver
M000110,CL0033,Gold
M000111,CL0032,Gold
M000112,CL0033,Bronze
M000113,CL0027,Silver
M000114,CL0043,Bronze
M000115,CL0013,Silver
M000116,CL0031,Gold
M000117,CL0037,Silver
M000118,CL0043,Silver
M000119,CL0026,Silver
M000120,CL0033,Silver
M000121,CL0010,Silver
M000122,CL0015,Silver
M000123,CL0010,Silver
M000124,CL0037,Silver
M000125,CL0019,Silver
M000126,CL0037,Silver
M000127,CL0010,Silver
M000128,CL0043,Gold
M000129,CL0043,Silver
M000130,CL0012,Silver
M000131,CL0002,Gold
M000132,CL0010,Gold
M000133,CL0043,Silver
M000134,CL0016,Gold
M000135,CL0033,Gold
M000136,CL0031,Bronze
M000137,CL0041,Silver
M000138,CL0032,Silver
M000139,CL0032,Silver
M000140,CL0050,Gold
M000141,CL0013,Silver
M000142,CL0043,Gold
M000143,CL0010,Gold
M000144,CL0032,Silver
M000145,CL0043,Silver
M000146,CL0036,Silver
M000147,CL0037,Bronze
M000148,CL0016,Bronze
M000149,CL0031,Silver
M000150,CL0026,Bronze
M000151,CL0032,Silver
M000152,CL0032,Gold
M000153,CL0020,Bronze
M000154,CL0020,Silver
M000155,CL0016,Bronze
M000156,CL0026,Silver
M000157,CL0013,Bronze
M000158,CL0043,Bronze
M000159,CL0033,Gold
M000160,CL0013,Silver
M000161,CL0037,Bronze
M000162,CL0043,Bronze
M000163,CL0016,Gold
M000164,CL0013,Silver
M000165,CL0001,Gold
M000166,CL0010,Silver
M000167,CL0040,Silver
M000168,CL0050,Silver
M000169,CL0008,Gold
M000170,CL0038,Gold
M000171,CL0010,Bronze
M000172,CL0033,Silver
M000173,CL0040,Bronze
M000174,CL0024,Gold
M000175,CL0001,Silver
M000176,CL0033,Bronze
M000177,CL0050,Silver
M000178,CL0016,Silver
M000179,CL0015,Gold
M000180,CL0013,Silver
M000181,CL0033,Bronze
M000182,CL0033,Silver
M000183,CL0041,Bronze
M000184,CL0038,Silver
M000185,CL0043,Silver
M000186,CL0042,Gold
M000187,CL0016,Silver
M000188,CL0033,Bronze
M000189,CL0019,Gold
M000190,CL0020,Gold
M000191,CL0050,Silver
M000192,CL0037,Silver
M000193,CL0050,Silver
M000194,CL0031,Silver
M000195,CL0032,Bronze
M000196,CL0032,Silver
M000197,CL0012,Bronze
M000198,CL0016,Gold
M000199,CL0032,Gold
M000200,CL0010,Bronze
M000201,CL0050,Silver
M000202,CL0013,Bronze
M000203,CL0016,Bronze
M000204,CL0040,Bronze
M000205,CL0012,Silver
M000206,CL0045,Gold
M000207,CL0037,Silver
M000208,CL0010,Gold
M000209,CL0037,Silver
M000210,CL0033,Bronze
M000211,CL0040,Silver
M000212,CL0043,Silver
M000213,CL0037,Silver
M000214,CL0033,Silver
M000215,CL0020,Bronze
M000216,CL0037,Silver
M000217,CL0050,Silver
M000218,CL0033,Gold
M000219,CL0036,Silver
M000220,CL0032,Bronze
M000221,CL0040,Gold
M000222,CL0050,Bronze
M000223,CL0014,Bronze
M000224,CL0016,Silver
M000225,CL0032,Bronze
M000226,CL0032,Silver
M000227,CL0033,Silver
M000228,CL0010,Gold
M000229,CL0031,Silver
M000230,CL0033,Silver
M000231,CL0033,Gold
M000232,CL0036,Silver
M000233,CL0037,Bronze
M000234,CL0033,Gold
M000235,CL0041,Gold
M000236,CL0033,Silver
M000237,CL0032,Silver
M000238,CL0033,Silver
M000239,CL0012,Bronze
M000240,CL0019,Silver
M000241,CL0032,Silver
M000242,CL0043,Silver
M000243,CL0037,Silver
M000244,CL0012,Silver
M000245,CL0033,Gold
M000246,CL0016,Gold
M000247,CL0037,Silver
M000248,CL0043,Gold
M000249,CL0033,Bronze
M000250,CL0033,Bronze
M000251,CL0020,Gold
M000252,CL0032,Silver
M000253,CL0043,Gold
M000254,CL0037,Silver
M000255,CL0032,Bronze
M000256,CL0026,Silver
M000257,CL0010,Bronze
M000258,CL0013,Silver
M000259,CL0015,Silver
M000260,CL0027,Silver
M000261,CL0050,Silver
M000262,CL0032,Silver
M000263,CL0016,Gold
M000264,CL0012,Bronze
M000265,CL0020,Bronze
M000266,CL0042,Bronze
M000267,CL0028,Silver
M000268,CL0040,Bronze
M000269,CL0042,Silver
M000270,CL0012,Bronze
M000271,CL0033,Bronze
M000272,CL0050,Silver
M000273,CL0031,Gold
M000274,CL0010,Bronze
M000275,CL0048,Bronze
M000276,CL0043,Silver
M000277,CL0032,Gold
M000278,CL0033,Silver
M000279,CL0016,Gold
M000280,CL0043,Bronze
M000281,CL0032,Bronze
M000282,CL0003,Silver
M000283,CL0037,Silver
M000284,CL0050,Gold
M000285,CL0043,Bronze
M000286,CL0019,Gold
M000287,CL0010,Silver
M000288,CL0050,Silver
M000289,CL0050,Gold
M000290,CL0032,Silver
M000291,CL0033,Gold
M000292,CL0032,Silver
M000293,CL0031,Bronze
M000294,CL0013,Bronze
M000295,CL0012,Gold
M000296,CL0016,Gold
M000297,CL0043,Gold
M000298,CL0013,Silver
M000299,CL0016,Silver
M000300,CL0033,Bronze
M000301,CL0016,Silver
M000302,CL0015,Silver
M000303,CL0033,Silver
M000304,CL0026,Silver
M000305,CL0033,Bronze
M000306,CL0046,Silver
M000307,CL0013,Gold
M000308,CL0046,Gold
M000309,CL0045,Silver
M000310,CL0043,Silver
M000311,CL0033,Silver
M000312,CL0033,Bronze
M000313,CL0033,Bronze
M000314,CL0037,Gold
M000315,CL0001,Bronze
M000316,CL0050,Silver
M000317,CL0033,Silver
M000318,CL0040,Gold
M000319,CL0027,Silver
M000320,CL0001,Gold
M000321,CL0032,Silver
M000322,CL0032,Bronze
M000323,CL0032,Silver
M000324,CL0020,Bronze
M000325,CL0016,Silver
M000326,CL0032,Bronze
M000327,CL0027,Gold
M000328,CL0050,Bronze
M000329,CL0015,Bronze
M000330,CL0020,Silver
M000331,CL0019,Silver
M000332,CL0032,Bronze
M000333,CL0032,Gold
M000334,CL0033,Bronze
M000335,CL0050,Silver
M000336,CL0019,Silver
M000337,CL0037,Bronze
M000338,CL0003,Bronze
M000339,CL0016,Silver
M000340,CL0032,Gold
M000341,CL0003,Silver
M000342,CL0033,Silver
M000343,CL0037,Bronze
M000344,CL0038,Silver
M000345,CL0032,Silver
M000346,CL0033,Silver
M000347,CL0030,Silver
M000348,CL0008,Gold
M000349,CL0012,Gold
M000350,CL0035,Silver
M000351,CL0050,Gold
M000352,CL0001,Silver
M000353,CL0033,Bronze
M000354,CL0038,Silver
M000355,CL0043,Silver
M000356,CL0032,Gold
M000357,CL0033,Gold
M000358,CL0037,Silver
M000359,CL0043,Silver
M000360,CL0013,Bronze
M000361,CL0048,Silver
M000362,CL0003,Silver
M000363,CL0043,Silver
M000364,CL0011,Bronze
M000365,CL0015,Silver
M000366,CL0001,Bronze
M000367,CL0032,Silver
M000368,CL0020,Bronze
M000369,CL0015,Gold
M000370,CL0032,Gold
M000371,CL0031,Silver
M000372,CL0040,Bronze
M000373,CL0043,Silver
M000374,CL0033,Bronze
M000375,CL0013,Bronze
M000376,CL0019,Silver
M000377,CL0046,Silver
M000378,CL0012,Gold
M000379,CL0031,Gold
M000380,CL0050,Gold
M000381,CL0050,Bronze
M000382,CL0031,Silver
M000383,CL0036,Bronze
